,id,name,host_id,neighbourhood_group_cleansed,zipcode,latitude,longitude,room_type,bedrooms,square_feet,price,number_of_reviews,review_scores_rating,accommodates,bathrooms,beds,host_total_listings_count
265,9198833,Best of Inwood – Subway (A) beneath. Lg Sunnyroom.,47848629,Manhattan,10034,40.86678266779737,-73.92676577154947,Private room,1.0,,175.0,0,,2,1.0,1.0,1.0
266,9592032,private room in brownstone apt,49646858,Manhattan,10035,40.80678513285318,-73.94002614924587,Private room,1.0,,150.0,0,,2,1.0,1.0,1.0
267,3694030,EAST VILLAGE Adorable Room,1190439,Manhattan,10009,40.72463488052421,-73.98071454981772,Private room,1.0,,85.0,15,88.0,2,1.5,1.0,1.0
268,4077258,The Manhattan Club,21147943,Manhattan,10019,40.76404216493568,-73.98066210857657,Entire home/apt,1.0,,325.0,1,80.0,4,1.0,1.0,2.0
269,12739861,Upper East Side lovely apartment,65769513,Manhattan,10128,40.78084732322613,-73.94814724301466,Private room,1.0,,80.0,24,93.0,2,1.0,1.0,1.0
272,941642,HELL'S KITCHEN STUDIO for 2 or 3,4888599,Manhattan,10019,40.76662190719155,-73.99302312944823,Entire home/apt,1.0,,179.0,103,92.0,3,1.0,1.0,1.0
273,11820681,Charming Hamilton Heights Apt,10181694,Manhattan,10030,40.82220102607039,-73.94459678573708,Private room,1.0,,65.0,0,,1,1.0,1.0,1.0
278,5660168,Your Own Entire 2B Duplex in uptown,29339155,Manhattan,10075,40.7707647964058,-73.9550875237177,Entire home/apt,2.0,,150.0,61,88.0,5,1.5,3.0,1.0
279,1203737,"Spacious, private 1BR by Columbia U",1737538,Manhattan,10025,40.80321747790102,-73.9696306777318,Entire home/apt,1.0,,180.0,54,95.0,4,1.0,1.0,1.0
280,3694182,One Bedroom Top Floor Apt with East River View,304999,Manhattan,10009,40.72383314144753,-73.97719626043978,Entire home/apt,1.0,,185.0,4,95.0,3,1.0,1.0,1.0
282,3563047,Charming Soho 2 Bedroom Centre,1387341,Manhattan,10012,40.726739551075525,-74.00304733595347,Entire home/apt,2.0,,250.0,43,81.0,4,1.0,2.0,1.0
283,10247776,One Bedroom West Village Jewel!,51406313,Manhattan,10014,40.732808649088,-74.00127488109727,Entire home/apt,1.0,,215.0,9,89.0,4,1.0,1.0,1.0
287,15448671,Beautiful One Bedroom Apartment in Upper East,99090644,Manhattan,10075,40.77409489173861,-73.9557087445682,Entire home/apt,1.0,,300.0,7,100.0,4,1.0,2.0,1.0
288,15490573,Central Manhattan 1bd Amazing Views,1815800,Manhattan,10016,40.74300945183016,-73.98185280216256,Entire home/apt,1.0,,200.0,3,100.0,3,1.0,1.0,1.0
289,10903055,Furnished Room in the Heart of NYC,28378670,Manhattan,10001,40.748695302345546,-73.99514178255355,Private room,1.0,,119.0,9,96.0,2,1.0,1.0,1.0
299,16014919,Chic and historic Chelsea District Inn,104136621,Manhattan,10011,40.73960604767938,-73.994198746349,Private room,1.0,,200.0,0,,4,1.0,2.0,1.0
